DIM_NAME,1S,1W,2S,2W,3S,3W,4S,4W
A100016,"0,0","0.0023,0.2475","0,0","0.0009,0.6417","0,0","-0.0016,0.4326","0,0","-0.0016,0.4237"
A10028156,"0.0079,0.1999","0.0011,0.5777","-0.0023,0.6757","0.0028,0.1266","-0.0031,0.609","0.0035,0.0771","0.0016,0.7943","-0.0004,0.8252"
A100414,"-0.0012,0.8435","0.0091,0.0","-0.0032,0.568","0.0082,0.0","0.0039,0.5233","0.0023,0.2535","-0.0058,0.341","-0.0019,0.34"
A100425,"0.0022,0.7169","0.0047,0.02","0.0012,0.8297","-0.0008,0.6781","0.0013,0.8298","0.0053,0.0075","-0.0028,0.6442","0.0028,0.1694"
A100447,"-0.0006,0.917","-0.0016,0.4377","0.0008,0.8815","0.0018,0.3325","0.0034,0.5807","-0.0017,0.3971","-0.0035,0.5639","-0.0009,0.644"
A10049044,"0,0","-0.0014,0.4827","0,0","-0.0024,0.192","0,0","-0.0014,0.4812","0,0","-0.0009,0.6539"
A10061026,"0,0","0.002,0.3239","0,0","-0.0007,0.7141","0,0","0.0009,0.6383","0,0","0.0019,0.3445"
A101779,"0,0","-0.0007,0.7288","0,0","-0.0041,0.0248","0,0","0.0019,0.3364","0,0","0.0029,0.1542"
A101804,"0,0","-0.002,0.3311","0,0","0.0033,0.0755","0,0","0.0002,0.906","0,0","0.0037,0.0673"
A10453868,"0,0","0.0008,0.6836","0,0","0.0028,0.133","0,0","0.0049,0.0138","0,0","0.0059,0.0036"
A105679,"0,0","-0.001,0.6129","0,0","0.0016,0.3888","0,0","0.0017,0.3929","0,0","-0.0013,0.5158"
A106423,"0.0008,0.8908","0.0009,0.639","0.0031,0.5823","0.0275,0.0","0.0117,0.054","-0.0037,0.0658","0.0155,0.0114","-0.0008,0.6888"
A106445,"0,0","0.0017,0.3924","0,0","0.0024,0.1858","0,0","0.0043,0.0321","0,0","0.0013,0.5297"
A106467,"0,0","0.0033,0.1037","0,0","0.0005,0.7691","0,0","-0.0017,0.4046","0,0","-0.0002,0.9081"
A106478,"0,0","-0.0008,0.6781","0,0","0.0013,0.4692","0,0","-0.0014,0.4871","0,0","-0.0008,0.6777"
A106503,"0,0","0.0028,0.1595","0,0","0.0005,0.7813","0,0","-0.0008,0.7047","0,0","-0.0008,0.6775"
