seq,city,country,lat,lon,stay
0,Jinzhou,China,41.096009,121.129761,19
8,Dalian,China,38.914003,121.614682,7/365
1,Siping,China,43.16642,124.350398,4
2,Changchun,China,43.909913,125.324108,10/365
4,Harbin,China,45.803775,126.534967,30/365
14,Shenyang,China,41.805699,123.431472,10/365
3,Beijing,China,39.904211,116.407395,6
6,Wuhan,China,30.593099,114.305393,30/365
5,Xiangyang,China,32.008986,112.122415,2/365
7,JingZhou,China,30.335165,112.239741,2/365
10,Seattle,USA,47.61,-122.33,8/365
15,Atlanta,USA,33.748995,-84.387982,8/365
9,Charlotte,USA,35.227087,-80.843127,5
11,"Washington, D. C.",USA,38.907192,-77.036871,6/365
12,Austin,USA,30.267153,-97.743061,1/365
13,San Marcos,USA,29.883275,-97.941394,8/365
14,Kent,USA,41.153030,-81.360988,92/365
15,Chicago,USA,41.880305,-87.627041,9/365
16,Redlands,USA,34.0556,-117.1825,92/365

