MatchID,SetSequenceNumber,GameSequenceNumber,PointSequenceNumber,TimeStamp,ServerID,Server-ServeSide,Server-ServeNumber,Returner-ReturnStrokeType,PointLength,PointDifferential,GameDifferential,P1DominantStrokeHand,P2DominantStrokeHand,P1DominantPlayingDepth,P2DominantPlayingDepth,P1ShotsOutsideSidelines,P2ShotsOutsideSidelines,P1ShortShots,P2ShortShots,Server-ServeSpeed,Server-WideServe,WinnerID,PointOutcome,P1-WINNER,P1-UNFORCED_ERROR,P2-WINNER,P2-UNFORCED_ERROR
89,0,0,0,'2007-01-31 00:36:23.29',P1,P1-DEUCE,P1-2,P2-BACKHAND,MEDIUM,0,0,NONE,NONE,INSIDE_BASELINE,BEHIND_BASELINE,true,false,false,true,P1-SLOW,P1-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,0,1,'2007-01-31 00:36:50.74',P1,P1-AD,P1-1,P2-FOREHAND,MEDIUM,-1,0,NONE,FOREHAND,NEUTRAL,BEHIND_BASELINE,false,false,false,true,P1-SLOW,P1-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,0,2,'2007-01-31 00:37:25.84',P1,P1-DEUCE,P1-2,P2-BACKHAND,SHORT,-2,0,BACKHAND,BACKHAND,INSIDE_BASELINE,BEHIND_BASELINE,false,false,false,true,P1-SLOW,P1-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,0,3,'2007-01-31 00:37:58.94',P1,P1-AD,P1-2,P2-BACKHAND,SHORT,-1,0,NONE,BACKHAND,NEUTRAL,NEUTRAL,false,false,false,false,P1-AVERAGE,P1-true,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,0,4,'2007-01-31 00:38:28.19',P1,P1-DEUCE,P1-2,P2-BACKHAND,SHORT,0,0,BACKHAND,BACKHAND,INSIDE_BASELINE,BEHIND_BASELINE,false,true,false,false,P1-AVERAGE,P1-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,0,5,'2007-01-31 00:38:59.34',P1,P1-AD,P1-2,P2-BACKHAND,MEDIUM,1,0,NONE,NONE,NEUTRAL,BEHIND_BASELINE,false,false,false,false,P1-AVERAGE,P1-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,1,0,'2007-01-31 00:40:07.54',P2,P2-DEUCE,P2-1,P1-BACKHAND,SHORT,0,1,NONE,NONE,NEUTRAL,NEUTRAL,false,false,false,false,P2-FAST,P2-true,P2,P2-ACE,false,false,false,false
89,0,1,1,'2007-01-31 00:40:26.19',P2,P2-AD,P2-1,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,NONE,BEHIND_BASELINE,NEUTRAL,false,false,false,false,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,1,2,'2007-01-31 00:40:55.24',P2,P2-DEUCE,P2-2,P1-BACKHAND,SHORT,0,1,NONE,FOREHAND,BEHIND_BASELINE,INSIDE_BASELINE,false,false,true,false,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,1,3,'2007-01-31 00:41:24.4',P2,P2-AD,P2-2,P1-FOREHAND,SHORT,-1,1,FOREHAND,FOREHAND,NEUTRAL,INSIDE_BASELINE,false,false,false,false,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,1,4,'2007-01-31 00:41:45.74',P2,P2-DEUCE,P2-1,P1-BACKHAND,MEDIUM,-2,1,BACKHAND,NONE,BEHIND_BASELINE,NEUTRAL,false,true,false,false,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,1,5,'2007-01-31 00:42:20.34',P2,P2-AD,P2-2,P1-BACKHAND,SHORT,-1,1,NONE,NONE,NEUTRAL,NEUTRAL,false,false,false,false,P2-SLOW,P2-true,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,2,0,'2007-01-31 00:42:48.94',P1,P1-DEUCE,P1-1,P2-FOREHAND,LONG,0,0,NONE,BACKHAND,NEUTRAL,BEHIND_BASELINE,true,true,false,true,P1-FAST,P1-false,P1,P1-WINNER,true,false,false,false
89,0,2,1,'2007-01-31 00:43:34.2',P1,P1-AD,P1-1,P2-BACKHAND,MEDIUM,1,0,FOREHAND,NONE,NEUTRAL,BEHIND_BASELINE,true,false,true,false,P1-AVERAGE,P1-true,P1,P1-WINNER,true,false,false,false
89,0,2,2,'2007-01-31 00:44:02.14',P1,P1-DEUCE,P1-1,P2-FOREHAND,SHORT,2,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,false,false,false,false,P1-AVERAGE,P1-true,P2,P2-WINNER,false,false,true,false
89,0,2,3,'2007-01-31 00:44:31.15',P1,P1-AD,P1-2,P2-BACKHAND,MEDIUM,1,0,FOREHAND,NONE,NEUTRAL,NEUTRAL,true,false,true,true,P1-SLOW,P1-true,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,2,4,'2007-01-31 00:44:56.99',P1,P1-DEUCE,P1-1,P2-FOREHAND,SHORT,2,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,false,false,false,false,P1-AVERAGE,P1-true,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,3,0,'2007-01-31 00:45:47.89',P2,P2-DEUCE,P2-2,P1-FOREHAND,SHORT,0,1,FOREHAND,NONE,NEUTRAL,NEUTRAL,false,false,false,false,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,3,1,'2007-01-31 00:46:18.94',P2,P2-AD,P2-2,P1-BACKHAND,MEDIUM,-1,1,NONE,NONE,BEHIND_BASELINE,NEUTRAL,false,false,true,true,P2-SLOW,P2-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,3,2,'2007-01-31 00:46:52.89',P2,P2-DEUCE,P2-2,P1-BACKHAND,MEDIUM,0,1,NONE,BACKHAND,INSIDE_BASELINE,BEHIND_BASELINE,false,false,true,false,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,3,3,'2007-01-31 00:47:25.59',P2,P2-AD,P2-2,P1-BACKHAND,MEDIUM,-1,1,NONE,FOREHAND,INSIDE_BASELINE,BEHIND_BASELINE,false,false,false,true,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,3,4,'2007-01-31 00:47:54.39',P2,P2-DEUCE,P2-1,P1-BACKHAND,SHORT,0,1,NONE,NONE,NEUTRAL,NEUTRAL,false,false,false,false,P2-AVERAGE,P2-true,P2,P2-ACE,false,false,false,false
89,0,3,5,'2007-01-31 00:48:20.25',P2,P2-AD,P2-2,P1-BACKHAND,SHORT,-1,1,BACKHAND,FOREHAND,NEUTRAL,BEHIND_BASELINE,false,false,false,false,P2-FAST,P2-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,3,6,'2007-01-31 00:48:43.95',P2,P2-DEUCE,P2-1,P1-FOREHAND,SHORT,0,1,FOREHAND,NONE,NEUTRAL,NEUTRAL,false,false,false,false,P2-AVERAGE,P2-true,P2,P2-WINNER,false,false,true,false
89,0,3,7,'2007-01-31 00:49:15.85',P2,P2-AD,P2-2,P1-BACKHAND,LONG,-1,1,NONE,NONE,INSIDE_BASELINE,BEHIND_BASELINE,false,false,false,true,P2-SLOW,P2-false,P1,P1-WINNER,true,false,false,false
89,0,3,8,'2007-01-31 00:49:54.7',P2,P2-DEUCE,P2-1,P1-FOREHAND,MEDIUM,0,1,NONE,FOREHAND,BEHIND_BASELINE,NEUTRAL,true,false,false,false,P2-FAST,P2-false,P2,P2-WINNER,false,false,true,false
89,0,3,9,'2007-01-31 00:50:29.0',P2,P2-AD,P2-1,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,FOREHAND,NEUTRAL,BEHIND_BASELINE,false,false,true,true,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,4,0,'2007-01-31 00:51:18.4',P1,P1-DEUCE,P1-2,P2-FOREHAND,MEDIUM,0,0,FOREHAND,FOREHAND,INSIDE_BASELINE,BEHIND_BASELINE,false,false,true,true,P1-AVERAGE,P1-true,P1,P1-WINNER,true,false,false,false
